简称,全名,基准价,跳蚤价,商人收购价,收购商人,差价
MP-133x6,MP-133x6 12铅径 6发弹仓,1255,40000,702,Mechanic,39298
MP-133x8,MP-133x8 12铅径 8发弹仓,2295,50000,1285,Mechanic,48715
PM/PPSH,PM/PPSH 9x18马卡洛夫 84发弹匣,17232,40000,9649,Mechanic,30351
STANAG,柯尔特AR-15 5.56x45 30发STANAG弹匣,2012,18888,1126,Mechanic,17762
SPRM,Kiba Arms International泵动式霰弹枪SPRM导轨,3285,35553,1971,Jaeger,33582
Sprut,Delta-tek Sprut泵动式霰弹枪导轨,2588,9500,1552,Jaeger,7948
M4SS,High Standard M4SS枪托,3119,29999,1871,Jaeger,28128
LPA2F, UTG 低轮廓 A2 AR-15准星,600,599,336,Mechanic,263
A2手枪式,柯尔特A2 AR-15手枪式握把,1213,5000,679,Mechanic,4321
CA2R,柯尔特A2 AR-15照门,908,750,508,Mechanic,242
MONSTER,Surefire SOCOM556-MONSTER 5.56x45消音器,43000,39998,24080,Mechanic,15918
M MONSTER,Surefire SOCOM556-MINI MONSTER 5.56x45消音器,58000,42222,32480,Mechanic,9742
RIS II 9.5 FDE,Daniel Defence RIS II 9.5 英寸 AR-15 规格护木（棕褐色）,10449,30000,5851,Mechanic,24149
510毫米MP-133 12铅径,510毫米MP-133霰弹枪肋条枪管 12铅径,4020,10000,2412,Jaeger,7588
510毫米MP-133,540毫米MP-133霰弹枪枪管 12铅径,3900,0,2340,Jaeger,0
540毫米MP-133 12铅径,540毫米MP-133霰弹枪肋条枪管 12铅径,4200,1000,2520,Jaeger,-1520
660毫米MP-133,660毫米MP-133霰弹枪枪管 12铅径,5005,5100,3003,Jaeger,2097
660毫米MP-133 12铅径,660毫米MP-133霰弹枪肋条枪管 12铅径,5501,10000,3300,Jaeger,6700
710毫米MP-133,710毫米MP-133霰弹枪枪管 12铅径,6123,10000,3673,Jaeger,6327
710毫米MP-133 12铅径,710毫米MP-133霰弹枪肋条枪管 12铅径,6958,12000,4174,Jaeger,7826
750毫米MP-133,750毫米MP-133霰弹枪枪管 12铅径,7062,33333,4237,Jaeger,29096
750毫米 MP-133 12铅径,750毫米MP-133霰弹枪肋条枪管 12铅径,7680,8000,4608,Jaeger,3392
RTC 12铅径,雷明顿战术12铅径收束器,2783,25000,1558,Mechanic,23442
133/153塑握,MP-133/153塑料手枪式握把,6510,39880,3906,Jaeger,35974
133/153塑托,MP-133/153塑料枪托,1541,100000,924,Jaeger,99076
133/153木托,MP-133/153木制枪托,1499,1250,899,Jaeger,351
SV-98照门,Izhmash SV-98照门,999,45000,559,Mechanic,44441
SV-98 HR,SV-98隔热带,2342,5000,1311,Mechanic,3689
7毫米 12c,12/70 7毫米鹿弹,30,77,16,Mechanic,61
SNB,7.62x54R SNB,1364,30000,763,Mechanic,29237
Klesch-2P,Zenit 2P Klesch 手电激光指示器,15676,15000,8778,Mechanic,6222
SNB 7.62x54 R,7.62x54mm R SNB弹药包（20发装）,28280,0,15836,Mechanic,0
SV-98 STD,SV-98 7.62x54R膛口装置,1497,20000,838,Mechanic,19162
AK-74N,卡拉什尼科夫 AK-74N 5.45x39 突击步枪,23147,60000,12962,Mechanic,47038
Kiver-M,FORT Kiver-M 防弹头盔,31121,30000,19295,Ragman,10705
ComTac 2,Peltor ComTac 2 耳机（橄榄绿）,38050,35888,23591,Ragman,12297
BlackRock,BlackRock胸挂,40700,10000,25234,Ragman,-15234
PACA,PACA 软质防弹背心,26263,29999,16283,Ragman,13716
RP-1,Zenit RP-1 AK拉机柄,2663,9420,1491,Mechanic,7929
CAA RS47,CAA RS47 AK兼容系统护木,10638,77777,5957,Mechanic,71820
AK-74 木,AK-74 木制护木,801,11111,448,Mechanic,10663
AK-74M,AK-74 聚合物护木,1022,5000,572,Mechanic,4428
B10M+B19,AK Zenit B-10M 导轨护木+ B-19 上导轨组合,13327,32111,7463,Mechanic,24648
MPR45,NcStar MPR45备用导轨,3088,100000,1852,Jaeger,98148
6P20 0-20,Izhmash 5.45x39 AK-74膛口制退补偿器（6P20 0-20）,694,11111,388,Mechanic,10723
DTK-1,Zenit DTK-1 7.62x39 & 5.45x39 AK膛口制退补偿器 ,4230,15555,2368,Mechanic,13187
6P4 Sb.8V,Izhmash AK胶木手枪式握把（6P4 Sb.8V）,764,20000,427,Mechanic,19573
6P1 Sb.8,Izhmash AK聚合物手枪式握把（6P1 Sb.8）,789,25000,441,Mechanic,24559
RK-3,Zenit RK-3 AK手枪式握把,8120,29999,4547,Mechanic,25452
6P1 0-1,Izhmash AK-74防尘盖（6P1 0-1）,1042,11111,583,Mechanic,10528
B-33,Zenit B-33 AK-74防尘盖,13549,55499,7587,Mechanic,47912
6P1 Sb.2,AK-74标准照门 （6P1 Sb.2）,499,11111,279,Mechanic,10832
6P20 Sb.7,Izhmash AK-74聚合物枪托（6P20 Sb.7）,2068,2250,1240,Jaeger,1010
6P20 Sb.5,Izhmash AK-74木制枪托（6P20 Sb.5）,1847,2000,1108,Jaeger,892
ME4,ME AK枪托转接器,5053,19999,3031,Jaeger,16968
CST,柯尔特缓冲管,1175,23000,705,Jaeger,22295
TT01,Tactica Tula TT01韦弗式照门适配器,2698,20000,1510,Mechanic,18490
PS 7.62x39,7.62x39mm PS弹药包（20发装）,5800,0,3248,Mechanic,0
6L20,6L20 5.45x39 30发AK-74兼容弹匣,2031,5000,1137,Mechanic,3863
6L18,6L18 5.45x39 45发AK-74兼容弹匣,3530,9999,1976,Mechanic,8023
TGP-A,AK-74 TGP-A 5.45x39消音器,41889,70000,23457,Mechanic,46543
PS,7.62x39毫米 PS,240,700,134,Mechanic,566
VOG-25,40毫米VOG-25榴弹,6750,75000,3780,Mechanic,71220
箱子,手枪收纳箱,11000,70000,6600,Jaeger,63400
箱子钥匙,手枪收纳箱钥匙,100,0,63,Therapist,0
118房钥匙,宿舍118房间钥匙,5359,111100,3376,Therapist,107724
AA电池,五号电池,652,8888,410,Therapist,8478
D型电池,一号电池,2207,22222,1390,Therapist,20832
盖革计数器,盖革-穆勒计数器,16684,29000,10510,Therapist,18490
秋刀鱼,太平洋秋刀鱼罐头,8556,40000,5390,Therapist,34610
Crickent,Crickent打火机,1320,28888,831,Therapist,28057
Zibbo,Zibbo打火机,9617,15000,6058,Therapist,8942
GPhone,损坏的GPhone,18682,15000,11769,Therapist,3231
美元,美元,121,0,0,无,0
欧元,欧元,133,0,0,无,0
P226R,P226R 9x19手枪,6238,10000,3493,Mechanic,6507
9x19 P226,P226弹匣,2096,1000,1173,Mechanic,-173
Pst,9x19 毫米 Pst,62,100,34,Mechanic,66
112毫米 P226 9x19,112毫米P226枪管 9x19,1563,1000,937,Jaeger,63
黑塑握把P226,P226西格-绍尔黑色聚合物手枪握把,1001,1000,560,Mechanic,440
P226套筒,西格-绍尔P226R 9x19手枪套筒,3210,2499,1797,Mechanic,702
西格#8准星,西格-绍尔标准准星,500,11111,280,Mechanic,10831
西格#8照门,西格-绍尔P226标准照门,605,11111,338,Mechanic,10773
MP-153,MP-153 12铅径 半自动霰弹枪,14981,80000,8988,Jaeger,71012
750毫米 MP-153 12铅径,750毫米MP-153霰弹枪枪管 12铅径,7619,8000,4571,Jaeger,3429
MP-153聚合物,Izhmash MP-153聚合物枪托,3388,200000,1897,Mechanic,198103
MP153x4,MP-153弹仓前盖,500,2000,280,Mechanic,1720
MP153x8,MP-153 8发加长弹仓,2122,50000,1188,Mechanic,48812
X400,X400战术手电,11200,20000,6272,Mechanic,13728
BP,5.45x39毫米 BP,630,666,352,Mechanic,314
BS,5.45x39毫米 BS,780,9000,436,Mechanic,8564
BT,5.45x39毫米 BT,540,440,302,Mechanic,138
FMJ,5.45x39毫米 FMJ,99,100,55,Mechanic,45
HP,5.45x39毫米 HP,50,54,28,Mechanic,26
PP,5.45x39毫米 PP,220,199,123,Mechanic,76
PRS,5.45x39毫米 PRS,59,80,33,Mechanic,47
PS,5.45x39毫米 PS,140,280,78,Mechanic,202
SP,5.45x39毫米 SP,69,77,38,Mechanic,39
T,5.45x39毫米 T,90,90,50,Mechanic,40
US,5.45x39毫米 US,88,82,49,Mechanic,33
PB,PB 9x18PM消音手枪,11498,20000,6438,Mechanic,13562
PB胶木,PB胶木握把侧片,1001,10000,560,Mechanic,9440
PB-S,PB 9x18马卡洛夫库藏消音器,9730,10500,5448,Mechanic,5052
Scav背包,Scav背包,20100,35000,12462,Ragman,22538
旅行包,旅行包,11300,29998,7006,Ragman,22992
小挎包,邮差小挎包,9000,21000,5580,Ragman,15420
KX3,AR-15 Noveske KX3 5.56x45消焰器,7237,21999,4052,Mechanic,17947
FF 4-16,Hensoldt FF 4-16x56瞄准镜,55784,32000,33470,Jaeger,-1470
BOTL,Badger Ordnance战术掣子销拉机柄 ,3677,30000,2059,Mechanic,27941
SM220-239,西格220-239照门式导轨,3819,4235,2138,Mechanic,2097
KAC QDC,AR-15 KAC QDC 5.56x45消焰器套组,5500,17000,3080,Mechanic,13920
SV-98脚架,Izhmash SV-98脚架,4269,5000,2390,Mechanic,2610
PICBLOCK,Windham Weaponry滑轨式导气箍,4190,199999,2346,Mechanic,197653
MK12,AR-15 Daniel Defense MK12低轮廓型导气箍,4756,20000,2663,Mechanic,17337
MOE枪托,MOE卡宾枪托,8719,45000,5231,Jaeger,39769
553,Eotech 553全息瞄具,19377,38500,10851,Mechanic,27649
MRS,Walther MRS反射式瞄具,10000,23000,5600,Mechanic,17400
OKP-7,OKP-7反射式瞄具,12767,30000,7149,Mechanic,22851
F-1,F-1手榴弹,5600,36000,2800,Prapor,33200
ECS FDE,DI ECS FDE AR-15枪系手枪式握把,1599,24420,895,Mechanic,23525
TT,托卡列夫 TT-33 7.62x25 手枪,4189,8000,2345,Mechanic,5655
116毫米 st. TT,116毫米TT枪管 7.62x25,1165,1000,699,Jaeger,301
121毫米 Thr. TT,121毫米 7.62x25 自制TT螺纹口枪管,2149,2148,1289,Jaeger,859
TT侧片,标准TT握把侧片,1006,1000,563,Mechanic,437
TT消音器,土制7.62x25 TT消音器,14904,13999,8346,Mechanic,5653
tt-105,tt-105 7.62x25 TT弹匣,1157,1222,647,Mechanic,575
PVS-14,AN/PVS-14单筒夜视仪,91951,77000,55170,Jaeger,21830
Scav背心,Scav背心,4199,34222,2603,Ragman,31619
帽,棒球帽,1021,3000,633,Ragman,2367
巴拉克拉瓦,巴拉克拉瓦头套,2589,8000,1605,Ragman,6395
无檐帽,无檐毛线帽,1070,5000,663,Ragman,4337
面巾,半面巾,2614,13911,1620,Ragman,12291
腰包,腰部安全包,15000,0,0,无,0
蓄电池,汽车蓄电池,61563,70000,38784,Therapist,31216
项链,项链,7235,10000,4558,Therapist,5442
金链,金项链,38177,222222,24051,Therapist,198171
香烟,阿波伦联盟香烟 ,2500,15000,1575,Therapist,13425
香烟,马宝路香烟,2210,3000,1392,Therapist,1608
香烟,云尔斯顿香烟,7984,4444,5029,Therapist,-585
香烟,无彩香烟,3120,6500,1965,Therapist,4535
炼乳,炼乳罐头,24943,80000,15714,Therapist,64286
CPU风扇,CPU风扇,4670,40000,2942,Therapist,37058
CPU,电脑CPU,13914,10999,8765,Therapist,2234
DVD,DVD光驱,8295,20000,5225,Therapist,14775
马雕,马雕像,11448,24000,7212,Therapist,16788
胶带,绝缘胶带,2019,25000,1271,Therapist,23729
火柴,经典火柴,2020,35000,1272,Therapist,33728
内存,内存条,10966,60000,6908,Therapist,53092
管道胶带,管道胶带,2499,33000,1574,Therapist,31426
PSU,供电单元,7936,200000,4999,Therapist,195001
螺栓,螺栓,11000,88000,6930,Therapist,81070
螺母,螺母,8700,35000,5481,Therapist,29519
牙膏,牙膏,1927,199999,1214,Therapist,198785
显卡,显示卡,198000,590000,124740,Therapist,465260
T-Plug,T形插座,2481,20000,1563,Therapist,18437
面包块,黑麦面包块,3128,38400,1970,Therapist,36430
细鳞大马哈鱼罐头,Humpback鲑鱼罐头,9857,65000,6209,Therapist,58791
豌豆,豌豆罐头,6521,49899,4108,Therapist,45791
炖牛肉罐头,炖牛肉罐头,14252,32999,8978,Therapist,24021
蔬菜泥,罐装蔬菜泥,16168,29800,10185,Therapist,19615
燕麦片,一盒燕麦片,7568,29990,4767,Therapist,25223
鲱鱼,鲱鱼罐头,16948,33333,10677,Therapist,22656
炖牛肉罐头,炖美味牛肉罐头（大）,16393,33333,10327,Therapist,23006
AKBS,7.62x25毫米TT AKBS,49,53,27,Mechanic,26
FMJ43,7.62x25毫米TT FMJ43,50,54,28,Mechanic,26
LRN,7.62x25毫米TT LRN,48,2000,26,Mechanic,1974
LRNPC,7.62x25毫米TT LRNPC,68,71,38,Mechanic,33
P gl,7.62x25毫米TT P gl,52,60,29,Mechanic,31
Pst gzh,7.62x25毫米TT Pst gzh,70,80,39,Mechanic,41
PT gzh,7.62x25毫米TT PT gzh,63,250,35,Mechanic,215
9 BZT gzh,9x18毫米PM 9 BZT gzh,65,380,36,Mechanic,344
9 P gzh,9x18毫米PM 9 P gzh,12,5,6,Prapor,-1
PBM,9x18毫米PM PBM,121,399,67,Mechanic,332
PMM,9x18毫米PM PMM,115,400,64,Mechanic,336
PPe gzh,9x18毫米PM PPe gzh,51,50,28,Mechanic,22
PPT gzh,9x18毫米PM PPT gzh,43,46,24,Mechanic,22
PRS gs,9x18毫米PM PRS gs,39,42,21,Mechanic,21
PS gs PPO,9x18毫米PM PS gs PPO,29,21,16,Mechanic,5
PSO gzh,9x18毫米PM PSO gzh,22,23,12,Mechanic,11
Pst gzh,9x18毫米PM Pst gzh,45,49,25,Mechanic,24
PSV,9x18毫米PM PSV,73,75,40,Mechanic,35
RG028 gzh,9x18毫米PM RG028 gzh,86,93,48,Mechanic,45
SP7 gzh,9x18毫米PM SP7 gzh,167,200,93,Mechanic,107
SP8 gzh,9x18毫米PM SP8 gzh,69,74,38,Mechanic,36
BZHT gzh,9x18mm PM BZhT弹药包（16发装）,2040,0,1142,Mechanic,0
P gzh,9x18mm PM P弹药包（16发装）,1192,0,667,Mechanic,0
PBM,9x18mm PM PBM弹药包（16发装）,2936,0,1644,Mechanic,0
PMM,9x18mm PMM PstM弹药包（16发装）,2840,0,1590,Mechanic,0
Ppe gzh,9x18mm PM PPe弹药包（16发装）,1816,0,1016,Mechanic,0
PPT gzh,9x18mm PM PPT弹药包（16发装）,1688,0,945,Mechanic,0
PRS gzh,9x18mm PM PRS弹药包（16发装）,1624,0,909,Mechanic,0
PS gs PPO,9x18mm PM PPO弹药包（16发装）,1464,0,819,Mechanic,0
PSO gzh,9x18mm PM PSO弹药包（16发装）,1352,0,757,Mechanic,0
Pst gzh,9x18mm PM Pst弹药包（16发装）,1720,0,963,Mechanic,0
PSV,9x18mm PM PSV弹药包（16发装）,2168,0,1214,Mechanic,0
RG028 gzh,9x18mm PM RG028弹药包（16发装）,2376,0,1330,Mechanic,0
SP7 gzh,9x18mm PM SP7弹药包（16发装）,3672,0,2056,Mechanic,0
SP8 gzh,9x18mm PM SP8弹药包（16发装）,2104,0,1178,Mechanic,0
BP gs,5.45x39mm BP弹药包（120发装）,76600,0,42896,Mechanic,0
BP gs,5.45x39mm BP弹药包（120发装）,76600,0,42896,Mechanic,0
BP gs,5.45x39mm BP弹药包（30发装）,19900,0,11144,Mechanic,0
BS gs,5.45x39mm BS弹药包（120发装）,94600,0,52976,Mechanic,0
BS gs,5.45x39mm BS弹药包（120发装）,94600,0,52976,Mechanic,0
BS gs,5.45x39mm BS弹药包（30发装）,24400,0,13664,Mechanic,0
BT gs,5.45x39mm BT弹药包（120发装）,65800,0,36848,Mechanic,0
BT gs,5.45x39mm BT弹药包（120发装）,65800,0,36848,Mechanic,0
BT gs,5.45x39mm BT弹药包（30发装）,17200,0,9632,Mechanic,0
PP gs,5.45x39mm PP弹药包（120发装）,27400,0,15344,Mechanic,0
PP gs,5.45x39mm PP弹药包（120发装）,27400,0,15344,Mechanic,0
PP gs,5.45x39mm PP弹药包（30发装）,7600,0,4256,Mechanic,0
PRS gs,5.45x39mm PRS弹药包（120发装）,8080,0,4524,Mechanic,0
PRS gs,5.45x39mm PRS弹药包（120发装）,8080,0,4524,Mechanic,0
PRS gs,5.45x39mm PRS弹药包（30发装）,2770,0,1551,Mechanic,0
PS gs,5.45x39mm PS弹药包（120发装）,17800,0,9968,Mechanic,0
PS gs,5.45x39mm PS弹药包（120发装）,17800,0,9968,Mechanic,0
PS gs,5.45x39mm PS弹药包（30发装）,5200,0,2912,Mechanic,0
T gs,5.45x39mm T弹药包（120发装）,11800,0,6608,Mechanic,0
T gs,5.45x39mm T子弹（120发装）,11800,0,6608,Mechanic,0
T gs,5.45x39mm T子弹（30发装）,3700,0,2072,Mechanic,0
US gs,5.45x39mm US子弹（120发装）,11560,0,6473,Mechanic,0
US gs,5.45x39mm US子弹（120发装）,11560,0,6473,Mechanic,0
US gs,5.45x39mm US子弹（30发装）,3640,0,2038,Mechanic,0
FMJ,5.45x39mm FMJ子弹（30发装）,3970,0,2223,Mechanic,0
HP,5.45x39mm HP子弹（30发装）,2500,0,1400,Mechanic,0
SP,5.45x39mm SP子弹（30发装）,3070,0,1719,Mechanic,0
Pst Gzh,9x19mm Pst子弹（16发装）,1992,0,1115,Mechanic,0
OKP-7 DT,OKP-7反射式瞄具（Dovetail）,15155,19500,8486,Mechanic,11014
SKS,西蒙诺夫 SKS 7.62x39 卡宾枪,19331,70000,10825,Mechanic,59175
56-A-231 Sb.5,56-A-231 Sb.5木制枪托,3780,4100,2268,Jaeger,1832
SKS照门,SKS标准照门,300,100,168,Mechanic,-68
工厂,工厂地图,16122,20000,10156,Therapist,9844
Alyonka,Alyonka 巧克力,10483,74000,6604,Therapist,67396
绿茶,冰绿茶,2429,18000,1530,Therapist,16470
苹果汁,苹果汁,3422,77000,2155,Therapist,74845
西柚汁,西柚汁,3412,67000,2149,Therapist,64851
Vita果汁,Vita果汁,3456,100000,2177,Therapist,97823
NRG饮料,Max Energy能量饮料,8934,45000,5628,Therapist,39372
塔可乐,塔可乐,7980,17000,5027,Therapist,11973
牛奶,一盒牛奶,14753,78888,9294,Therapist,69594
Emelya,Emelya黑麦面包块,2980,34999,1877,Therapist,33122
热棒,热棒,9236,23000,5818,Therapist,17182
绷带,军用绷带,2049,9999,1290,Therapist,8709
金星,金星软膏,28889,160000,18200,Therapist,141800
AI-2,AI-2急救组合,5200,6666,3276,Therapist,3390
凡士林,凡士林,14844,38000,9351,Therapist,28649
Saiga-12K,Saiga-12K ver.10 12铅径半自动霰弹枪,16517,80000,9910,Jaeger,70090
SOK-12护管,SOK-12 螺纹保护帽,701,100,392,Mechanic,-292
Sb.7-1,SOK-12聚合物护木Sb.7-1,1397,0,782,Mechanic,0
Sb.5,Sb.5 12/76 5发SOK-12兼容弹匣,1694,15000,948,Mechanic,14052
Sb.0-2,Izhmash SOK-12 Sb.0-2防尘盖,1195,19999,669,Mechanic,19330
SOK-12AK枪托,Izhmash SOK-12 AK式枪托,1661,1000,996,Jaeger,4
"MP-443 ""乌鸦""",雅利金 MP-443 “乌鸦” 9x19 手枪,10437,10000,5844,Mechanic,4156
9x19 MP-443,MP-443 9x19 18发弹匣,1535,1673,859,Mechanic,814
MP443聚握,Izhmekh MP-443聚合物手枪握把,703,511,393,Mechanic,118
B-8,B-8基座,2744,1500,1646,Jaeger,-146
PSO 1M2-1,Zenit-Belomo PSO 1M2-1 4x24瞄准镜,19784,21564,11870,Jaeger,9694
FFWB,Burris FastFire韦弗式基座,1582,8888,949,Jaeger,7939
FF3,Burris FastFire 3反射式瞄具,16509,18985,9245,Mechanic,9740
纸,打印纸,2337,44000,1472,Therapist,42528
306钥匙,宿舍306房间钥匙,6108,39000,3848,Therapist,35152
315钥匙,宿舍315房间钥匙,2526,70000,1591,Therapist,68409
308钥匙,宿舍308房间钥匙,3500,85555,2205,Therapist,83350
符号钥匙,符号钥匙,1500000,70000000,945000,Therapist,69055000
214房钥匙,宿舍214房间钥匙,26661,16000,16796,Therapist,-796
218房钥匙,宿舍218房间钥匙,7657,40000,4823,Therapist,35177
220房钥匙,宿舍220房间钥匙,11101,39000,6993,Therapist,32007
海关钥匙,海关办公室钥匙,21107,55000,13297,Therapist,41703
加油站,隔间钥匙,7755,400000,4885,Therapist,395115
工棚钥匙,简易工棚钥匙,5700,20000,3591,Therapist,16409
VSS,VSS “绞丝机” 特种狙击步枪 ,65203,100000,39121,Jaeger,60879
VSS抑制器,VSS 9x39整体式枪管抑制器,22507,24000,12603,Mechanic,11397
VSS照门,VSS Vintorez标准照门,996,0,557,Mechanic,0
6L24,VSS/VAL 9x39 6L24 10发弹匣,4637,25555,2596,Mechanic,22959
6L25,VSS/VAL 9x39 6L25 20发弹匣（黑红色）,5999,15000,3359,Mechanic,11641
VSS,VSS Vintorez防尘盖,1620,88888,907,Mechanic,87981
VSS枪托,TSNIITochMash VSS Vintorez枪托,1786,6666,1071,Jaeger,5595
钱包,简易钱包,10542,12000,6641,Therapist,5359
PM（t）,马卡洛夫 PM(t) 9x18PM 手枪,5517,299999,3089,Mechanic,296910
海关,海关地图,13428,188888,8459,Therapist,180429
SP-5,9x39毫米 SP-5,220,220,123,Mechanic,97
SP-6,9x39毫米 SP-6,920,4500,515,Mechanic,3985
B-3,B-3基座,2752,30000,1651,Jaeger,28349
钥匙,泵站前门钥匙,5271,150000,3320,Therapist,146680
SOK12照门,IzhMash SOK-12照门,400,500,224,Mechanic,276
DR1/4x,ELCAN SpecterDR 1x/4x瞄准镜,32963,60000,19777,Jaeger,40223
DR1/4xFDE,ELCAN SpecterDR 1x/4x瞄准镜 FDE,38000,49999,22800,Jaeger,27199
043-02,Pilad 043-02基座,5118,5111,3070,Jaeger,2041
Baskak,Armacon Baskak枪托,5381,18900,3228,Jaeger,15672
BRAVO4,Sig BRAVO4 4X30瞄准镜,42728,50000,25636,Jaeger,24364
PK-06,Belomo PK-06反射式瞄具,8000,8300,4480,Mechanic,3820
OMRG FDE,Hogue OverMolded橡胶握把 FDE,3600,4000,2016,Mechanic,1984
AS VAL,AS “巨浪” 9x39 特种突击步枪,66869,166666,37446,Mechanic,129220
VAL抑制器,AS VAL 9x39枪管整体式抑制器,23346,26000,13073,Mechanic,12927
AS VAL照门,AS VAL标准照门,996,58499,557,Mechanic,57942
VAL,AS VAL防尘盖,1599,1740,895,Mechanic,845
VAL聚合物,AS VAL 手枪式握把（黑红色）,1493,1000,836,Mechanic,164
VAL枪托,TSNIITochMash AS VAL枪托,3111,99999,1866,Jaeger,98133
OMRG Black,Hogue OverMolded橡胶握把 Black,3600,90000,2016,Mechanic,87984
OMRG GE,Hogue OverMolded橡胶握把 Ghillie Earth,3600,50000,2016,Mechanic,47984
OMRG GG,Hogue OverMolded橡胶握把 Ghillie Green,3600,100000,2016,Mechanic,97984
OMRG OD,Hogue OverMolded橡胶握把 OD Green,3600,42000,2016,Mechanic,39984
3-24x42,March Tactical 3-24x42光学瞄准镜 FFP,41616,54000,24969,Jaeger,29031
